# OLiA discourse	label	DBO	Saplo	Yahoo	Zemanta	SemiTags	NERD
<http://purl.org/olia/discourse/olia_discourse.owl#NonProfitOrganization>	non profit organization						<http://nerd.eurecom.fr/ontology#NonProfitOrganization>
<http://purl.org/olia/discourse/olia_discourse.owl#Object>	object						
<http://purl.org/olia/discourse/olia_discourse.owl#OperatingSystem>	operating system				<http://developer.zemanta.com/docs/entity_type/operating_system>		<http://nerd.eurecom.fr/ontology#OperatingSystem>
<http://purl.org/olia/discourse/olia_discourse.owl#Organization>	ORG						
<http://purl.org/olia/discourse/olia_discourse.owl#Organization>	organization	<http://dbpedia.org/ontology/Organisation>	<http://developer.saplo.com/method/text-tags#Organization>	<http://developer.yahoo.com/search/content/V2/contentAnalysis.html#organization>	<http://developer.zemanta.com/docs/entity_type/organization>	<http://ner2.lmcloud.vse.cz/SemiTags/app/static/types#organization>	<http://nerd.eurecom.fr/ontology#Organization>
<http://purl.org/olia/discourse/olia_discourse.owl#Park>	park						<http://nerd.eurecom.fr/ontology#Park>
<http://purl.org/olia/discourse/olia_discourse.owl#Person>	PERS						
<http://purl.org/olia/discourse/olia_discourse.owl#Person>	person	<http://dbpedia.org/ontology/Person>	<http://developer.saplo.com/method/text-tags#Person>	<http://developer.yahoo.com/search/content/V2/contentAnalysis.html#person>	<http://developer.zemanta.com/docs/entity_type/person>	<http://ner2.lmcloud.vse.cz/SemiTags/app/static/types#person>	<http://nerd.eurecom.fr/ontology#Person>
<http://purl.org/olia/discourse/olia_discourse.owl#PhoneNumber>	phone number						<http://nerd.eurecom.fr/ontology#PhoneNumber>
<http://purl.org/olia/discourse/olia_discourse.owl#Plan>	plan						
<http://purl.org/olia/discourse/olia_discourse.owl#PoliticalEvent>	political event						<http://nerd.eurecom.fr/ontology#PoliticalEvent>
<http://purl.org/olia/discourse/olia_discourse.owl#PoliticalOrganization>	political organization						
<http://purl.org/olia/discourse/olia_discourse.owl#PoliticalParty>	political party				<http://developer.zemanta.com/docs/entity_type/political_party>		
<http://purl.org/olia/discourse/olia_discourse.owl#PoliticalUnit>	political unit						
<http://purl.org/olia/discourse/olia_discourse.owl#Politician>	politician				<http://developer.zemanta.com/docs/entity_type/politician>		<http://nerd.eurecom.fr/ontology#Politician>
<http://purl.org/olia/discourse/olia_discourse.owl#ProgrammingLanguage>	programming language	<http://dbpedia.org/ontology/ProgrammingLanguage>			<http://developer.zemanta.com/docs/entity_type/programming_language>		<http://nerd.eurecom.fr/ontology#ProgrammingLanguage>
